review,Sentiment
I think it would definitely add to the versatility of this app Best wishes!,Positive
I have some issues with this app 1. We can't save in other formats like jpg 2. Continuous capturing is not functioned properly. 1or 2 pages scanning done then can't capture next page.,Bug Report
Thanks for informing . But auto colour features is not good . Sometimes it could not retain the actual colour of the document .,Bug Report
 But auto colour features is not good ,Negative
Your is very good please add one more feature in this app while sharing the document it can share both of formats pdf as well as in jpg too. And you can add some documents in present file like in camscanner.,Feature Suggestion
Worst experience. I scanned 15 out if my 25 documents and when I was about to scan the 16th the app restarts. It happened the same the second time too. Now I'm supposed to do the same thing third time now.,Negative
Worst experience,Negative
"""Though a good app, it should be a JPG,PNG scanner too along with PDF scanner. There are times when we need an image instead of PDF.""",Feature Suggestion
"""As common as others, it also make all papers b/w so very bad... I want my pdf colorful please improve this function give option for that to us. Problem solved!!!""",Feature Suggestion
"""I have astonished why I have not used this app before, anyways its cool features like reorder the images or coloring the images and the most important thing its user-friendly interface among the scanner aaps, only thing is to increase the limit of pages to 50 for scanning a document.But image clarity needs to be better which is important to make documents.""",Positive
"""I have astonished why I have not used this app before, anyways its cool features like reorder the images or coloring the images and the most important thing its user-friendly interface among the scanner aaps, only thing is to increase the limit of pages to 50 for scanning a document",Positive
Still a long way to go to match with CamScanner. Why you have not put JPEG option?,Neutral
You can only save the file in pdf not in any other format. This app should learn from cam scanner for improvement of app.but this app is no good use.,Negative
but this app is no good use,Negative
"""After scanning the documents are saved in PDF format only. It should save in jpg, jpeg etc format also. So please bring this features.""",Feature Suggestion
It should have retake option after formed the pdf for each single paper...i suffered from this issue if i got some mistake on a single paper and after correction i've to make whole pdf again...,Feature Suggestion
Totally time wasted hai vry slowly processing do everything .cam scanner is the best according to adobe scan bcoz cam scanner scan many type of size jpeg jpg pdf etc but adobe scan only convert pdf .,Negative
Totally time wasted hai vry slowly processing do everything ,Negative
The only thing that isn't upto the mark about this app is the conversion of Pictures to the pages of pdf which appear to have been scanned. Appearance of the pictures aren't upto level that the magic colour filter of CamScanner offers. The scanned images in Adobe Scan often have their content blurred or are eliminated altogether,Personal Experience
Images could be saved ONLY in PDF format and not as jpeg. This criteria should be added.,Bug Report
It's a great app for scanning of documents but please add the option for saving the files in jpg and jpeg formats also.,Positive
Good alternative to Chinese app CamScanner. One thing I want to add. After taking photo and scan there should be save as jpeg photo as well.,Positive
Good alternative to Chinese app CamScanner,Positive
It's a request to provide us the feature of converting PDF files into JPG or JPEG format.,Feature Suggestion
"""I give 2 star becoz , in adobe scan you can't save file as image (jpg) like cam scanner, adobe generate only pdf file thats not good, And after it autometaclly saved in Drive thats not good""",Negative
Please give option for scan image individually and save in jpg format..... Now we can scan images but can't save as jpg or image file.,Feature Suggestion
"""It doesnt work properly, like a cam scanner and also not view the file size ,sharing jpg,pdf quality..i m very disappointed""",Negative
"i m very disappointed""",Negative
Try to add the option that we can share scan documents in JPG format also . The only problem in this app can send only PDF format,Feature Suggestion
It is best for using pdf file and share. One suggestion is inset jpeg formats file like pdf also it will help to some documents share and uploading jpeg formats useful,Positive
It is best for using pdf file and share,Positive
The app is good overall...it would be better if the techniques of saving could have the option of saving in jpg and PDF fornat,Positive
The app is good overall,Positive
"I cannot use search function because keyboard does not show up when search box is tapped and Makes it really difficult to find specific parts, Please fix this",Bug Report
Impossible to search because keyboard never appears when the text entry field is selected.,Bug Report
Great app! Team very supportive when I had issues transferring phone and app initially didn't seem to work but they fixed it.,Positive
Nothing is loading on Samsung S20 while It was working on S9+.,Bug Report
"""The app had worked before, but now instantly crashes from startup.""",Crash Report
Used to enjoy it but it constantly crashes now.,Crash Report
"""Doesn't work on Note10+ please fix this issue,it Just opens, then closes immediately.",Crash Report
"""can you please help me...i'm using a samsung s10+ phone and since the app is updated, i can't open it. It stuck on the white page and the atlas logo at the center. how do this happen?""",Crash Report
"""App was perfect but now it stops working as soon as I open it, and I can't use it""",Crash Report
"The app is amazing But it's lagging on my phone,Pllz fix this",Crash Report
Worked well on S7 but crashes before opening on Mi9t.,Crash Report
Crashes as soon as it opens.,Crash Report
"Hi there ~ I have the app installed on my tablet,Is it possible to access it on my PC? And would I be able to access it on my iPhone?.",Question
"""Won't launch in Bluestacks,it says initializing models, then exits.""",Crash Report
"""crashed on note 10+ 5G, Works perfect on previous device.""",Crash Report
"""Can't open the apps, keep crashing on Note 8 android 9""",Crash Report
This app is very helpful and intuitive and have excellent features and graphics,Positive
"""Doesn't load on galaxy s8, instantly closes""",Crash Report
This app is amazing....Can i also use the same on my desktop too or do i need to purchase it separately for my desktop. Kindly advice.,Positive
This app is amazing,Positive
"""hello can you please support the Arabic language, it's a very very nice app everything is so clear but my request is the support for Arabic language thank you so much.""",Feature Suggestion
Keep crash after update,Crash Report
I had search with specific word for several time before I got answer or probably not.,Bug Report
"""thanks very much for this app ,It's very helpful . But I would like to ask about upgrading and using this app on my laptop , will they be charged again ?""",Positive
what is the difference between this 2.99$ app and the 24.99$ one?,Question
"""Easily the best anatomy learning tool I've tried(videos, texts included). My only nitpick is that the interface for scrolling, zooming sometimes doesn't work as fluid as I'd want it to. if the developer could add Chromecast support that would be really helpful. There should also be a desktop version for those of us who have bought the app.""",Positive
"""Easily the best anatomy learning tool I've tried(videos, texts included)",Positive
"""Play store says it's installed. However when I try to open it all that's shows is a black screen with the words - Visible Body, then it disappears. What gives ? Should I uninstall and reinstall ?""",Bug Report
"""The pictures are really great to color. This is a really enjoyable app , pictures are awesome.""",Positive
"""The pictures are really great to color",Positive
" This is a really enjoyable app , pictures are awesome",Positive
Rubbish! The colours don't even match up to the numbers!! Don't waste your time with this!,Negative
"""I really like this app and all the designs and pictures you can color. Also it's neat how they have it so there are easy ones and harder ones to do, or longer ones rather than harder, plus there r hints if u can't find that last Lil spot to fill. The only annoying thing is the sound you have to turn it off cuz it's so annoying 😂😅""",Positive
"""I really like this app and all the designs and pictures you can color",Positive
" Also it's neat how they have it so there are easy ones and harder ones to do, or longer ones rather than harder, plus there r hints if u can't find that last Lil spot to fill",Positive
" The only annoying thing is the sound you have to turn it off cuz it's so annoying 😂😅""",Negative
I really like it so far. And I think that since it is a anime color by number app there should be characters from the different anime shows and movies. But for the past two days it's been crashing.,Neutral
I really like it so far,Positive
"""After the recent updates, I just love this app more and more. It's much more smoother and has lesser lag spikes and crashes. There's also tons of new pictures to colour.""",Positive
"""After the recent updates, I just love this app more and more",Positive
 It's much more smoother and has lesser lag spikes and crashes,Positive
 There's also tons of new pictures to colour,Positive
"""I really like the game, especially the art. But I do have a problem, for some reason when I try to upload the finished image to my photos, there would be an error.""",Positive
"""I really like the game, especially the art",Positive
The difference between the highlighted color and unpainted parts is way too little. I got frustrated trying to pick out the barely Grey parts with tiny number inside that it killed my mood for the game,Bug Report
 I got frustrated trying to pick out the barely Grey parts with tiny number inside that it killed my mood for the game,Negative
I love it but it needs new pictures like Male pictures and more cool anime pictures but it's a good app,Feature Suggestion
"""Its ok i mean,just there are too many ads if there werent i would do a 5 star but its a good game.""",Neutral
"""Very fun to color and great pictures.only problem is that some of the pictures wont load.""",Positive
"""It's not specific and sometimes I can't find the the number in the drawing bc it's really tiny, but it's alright.""",Bug Report
"""Keep getting network error ,am i doing something wrong or is it not installed properly ?""",Question
The colors are amazing and I love the pictures,Positive
Too many adverts but still a fun game,Neutral
Not free as advertised. Deleted.,Negative
This pics are so cute And I just liked this app,Positive
"""I honestly think this coloring app would be fun, but I wasn't able to get past the terms and agreements pop up on the title screen. It froze my phone everytime I tried to open the game.""",Bug Report
It's an amazing app! It does some of the details for you and it's very trickey and makes you use a lot of skills.,Positive
"""Not All anime pictures, which is fine, but the special pictures aren't Even fun! You tap on One spot and it's all colored in!!It's stupid.""",Negative
There is one problem that some picture doesn't open and showing INTERNET PROBLEMS,Bug Report
The pics are OK but when trying to save them all I get is zero byte files.,Bug Report
Yes this is brilliant game and this is awesome I love anime and especially the anime that is having cat ears,Positive
It was a good in the beginning but half way through the game the colours started disappearing so I click out of the game and clicked back in but the progress I had in the game disappeared.,Bug Report
I love this game overall but it keeps crashing saying network error when i have full service and full bars on wifi and i got premium with no ads but i still get tons of ads,Crash Report
"""Really fun game and is a good game when your board, although it can be slow at times.""",Positive
This app has too many bugs. It makes your phone run slow and the song still plays even if u close the app. Fix before you put it back out to play.,Bug Report
I love the images given to paint but sometimes the colours disappear and you can't complete the picture...,Bug Report
"""i really enjoy it, other than the fact that it mostly colors everything for you""",Positive
The sound effects are really bad and that overall play of the game isn't very well,Negative
"""Some pictures show network error. I have tried closing, restarting and updating but keep a showing""",Bug Report
"""first picture was good , but second time i tap the picture its show me network eror ! that why i gave 1 star .""",Bug Report
This game is interesting and help in your drawing skills because of the anime pictures,Positive
why network error when i want to paint some picture? can you fix this?,Question
"""I love the app, it's super adorable but just a bit glitchy but that could just be my phone""",Positive
It looks good and i Bet it is i love anime and art wow i like the game.,Positive
"""It was fun game, but very good and lovely.""",Positive
Your app is bugging. Can't open it.,Bug Report
I hate this game it is so boring and I don't need it after all,Negative
This is a really good coloring game and I love anime,Positive
"""Stealing artwork for a frankly bad, generic, forgettable app and making money off of it,I hope you get sued.""",Negative
It was fun and it helped pass the time,Positive
It's good and amazing,Positive
"extremely poor app,uninstalled",Negative
I gave here 4 stars because paint pictures so nice,Positive
Its really good,Positive
I like the colours,Positive
I love it.,Positive
"""This game is very nice , I love it.""",Positive
I kinda hate this game,Positive
It's bad .,Negative
My dissapointment is immesurable,Negative
Worst-ever game,Negative
"""I honesty don't like the game, it's super annoying and boring. And also, most of the pictures in the game aren't anime, they're just boring animated characters. I don't recommend this to a pro artist at all. That's all, and I also uninstalled this stupid game or app just this day I just installed it ⬇""",Negative
"""I honesty don't like the game, it's super annoying and boring",Negative
" And also, most of the pictures in the game aren't anime, they're just boring animated characters",Negative
 I don't recommend this to a pro artist at all,Negative
" That's all, and I also uninstalled this stupid game or app just this day I just installed it ⬇""",Negative
"""The app is very nice & I loved it. What I want to ask is that, the background color is only white. How could I change it ? Or could you make an update to change the background color also ?""",Positive
"""The app is very nice & I loved  it",Positive
"""I can't even use this because There is now way to change the text and that's like the whole point of this app. Don't download it, I swear it's just a waste of time.""",Negative
just irritating not getting all names,Negative
"""Time elapsing ads, ads, ads at every stage, I'm out.""",Negative
how can I change the background colour?,Question
Would like it more if you could change the background color or make transparent background!,Feature Suggestion
Worst colors possible since latest patch.,Negative
"""Easy to use, great quality pictures AND a Lots of filters to make the search easy and Adds with detailed information.""",Positive
"""Loses position in the search results whenever you see the details of a car. Can't select location by city name, only through postal code.""",Bug Report
Why do you need access to account authenicator to update?,Question
"""Fix the bugs plz. When I go for updating, it takes a lot of time and sometimes it doesn't install the updates from google play store. And the app shows pending.""",Positive
It is a very supportive platform for starting and upgrading one's career.,Positive
"""After the latest update, the app won't start.""",Bug Report
Email resume option not Work. Cant send any CV to email address.,Bug Report
Very much helpful to the job seekers,Positive
Can't able to login.,Bug Report
"It's an amazing platform to find jobs.Truly u guys r doing amazing work to create a bridge between job seekers & recruiters,Very best wishes for u.",Positive
It's an amazing platform to find jobs,Positive
Truly u guys r doing amazing work to create a bridge between job seekers & recruiters,Positive
"""Can't select job location, job type on search,it Says """"please select a valid location/type""""""",Bug Report
Totally messed up app. Can't even register . Also doesn't show the keywords . Fix it soon.,Bug Report
Totally messed up app,Negative
"Poorly slow! Doesn’t load in time, What's the problem!!! Too irritating.",Negative
Too much slow in loading any page.,Bug Report
"""When I use this app too much adds opening, It’s very disgusting.""",Negative
Why can't I open an account in this app?,Question
the app is very slow and it always buffers when i try to search for jobs.,Bug Report
"""Ads in the bottom of the screen is annoying. Pls introduce comment box like facebook so that employee and candidate can comment about the company. Very good app but need more and more attractive feature such as notification system, company rating system, more sub catagory such as Civil Engineering, Comment system below circular and more.""",Feature Suggestion
"""Ads in the bottom of the screen is annoying",Negative
"""There is a big problem on the personal resume page. When I try to set my date of birth, it shows me only """"3 months""""! That's why I can't fulfill the resume of me . Please Fix this bug :)""",Bug Report
"I can't upload my photo, How can i solve it?",Question
"""When login to this app, its prompts to add skills But unable to add skills or update profile, There is some bugs.""",Bug Report
"""Camera & Storage access - why you made it mandatory? After yesterday's (7.3.19) update, can't use the app without those permissions. Why?""",Question
"Having problems while searching for a certain job category. It keeps buffering and no results come out later on, Please fix this issue ASAP",Bug Report
It is a best application in my life. And this application is easy to browser. This is very comfortable job applyed. This app Desk Response very fast.,Positive
It is a best application in my life,Positive
 And this application is easy to browser,Positive
 This is very comfortable job applyed,Positive
 This app Desk Response very fast,Positive
very bad experience with updated app. previous was good. I can't use it as it takes long time but does not respond. I hate it now.,Negative
very bad experience with updated app,Negative
 I hate it now,Negative
"""One of the worst app of playstore.it is very slow and doesn't open""",Negative
Its really worst version ever! Its so slow and complicated!! Pervious version was good!,Negative
"""please update bugs,i am already facing problem severely after updated my apps.It’s loading....and loding....but can't see any job circular after i have selected my preferred category.""",Bug Report
updated version has so many bug. searching and navigation is not working properly,Bug Report
"""content copy is not available. please, bring this option in the next update.""",Feature Suggestion
New app behaving very badly. i Can't edit personal information in my cv and also facing problem to search the desired job.,Negative
New app behaving very badly,Negative
"Worst user interface, Hard to use while Previous version was good & user friendly.",Negative
"i couldn't recover my old id password, update version is too worst.",Negative
Very important and useful app for searching job in the country.,Positive
"""Very Good App for job search, i am very satisfied allthough update version has little bit confusing searching filter.""",Positive
Deadline shows same the all of shortlisted jobs. Please fix this issue.,Bug Report
"""Search options of new version being loading, can't not open searching page.""",Bug Report
this new version is very bad page not open smoothly take more time,Negative
"""Very helpful for job seekers to get a preferable job without references""",Positive
"So much complicated, previous version was user friendly.",Negative
Why do you need to access my media files to even open?,Question
please attached/integrated internal web browser...,Feature Suggestion
Best platform for job seeker.,Positive
If select any option such as Commercial /Supply chain in general category then search no result display,Negative
"Its a wonderful app i ever seen to get a job update easily,Thanks to all who are working on it.",Positive
Very bad search option previous versions was better than new version,Negative
New version is so bad and It failed to provide us good service,Negative
"""This new version is very slow, we are really disappointed after update it.""",Negative
Best slow app in the world,Positive
"""Needs a smart UI design, so people can use direct links go to appropriate site of the employers.""",Feature Suggestion
"I can't see employers who viewed my online application on mobile app, Please fix this issue",Bug Report
"This application is very support & helpful for any job, I'm satisfied this application.",Positive
Please fix the problem that  When CV is download it's don't open ..,Bug Report
"Newly Update makes the softwere crippled,So much Problematic viewing & searching.",Negative
Worst Version !!!! Previous Version was More better than new Version.,Negative
"hot jobs page isn't working,please fix this",Bug Report
unfortunately BD jobs has stopped why show like this again & again i am just fed up please come back old version,Crash Report
"""App is too much slow, i applied lot of job but no one reply me. Not effective app. Kormo app is to much better then bdjobs.""",Negative
 Not effective app,Negative
Search engine isn't working perfectly,Bug Report
Not user friendly. Previous one was best.,Negative
Not user friendly,Negative
plz put features like download own resume and plz put features like cover letter.,Feature Suggestion
Wonderful app and very easy to apply.,Positive
A third grade software with so many bugs.,Negative
"bring back the previous function,latest update sucks!!!!!",Negative
Very useful and helpful for jobs!!,Positive
"An amazing platform to find a job,Thanks a lot.",Positive
"Very low mentality app is it, Previous version was comfortable.",Negative
worst update.previous one was far better than new one,Negative
worst update,Negative
"Useful and authentic source for finding Job,Best of luck",Neutral
This is a great application through which I have benefited a lot and I have succeeded in doing a lot of work,Positive
"I think this is the best job side in sub continent Best of luck Bdjobs,Wish u all the very best.",Positive
Search always loading.Just disguisting,Negative
 Just disguisting,Negative
Maximum time not login or entering,Bug Report
Previous version was better than present version.,Personal Experience
"the new app is very poor grade,it is totally unusable",Negative
To much helpful apps ever i have seen. Love this Apps.,Positive
why the shortlisted job circulars become removed and lost automatically?,Question
Amazing app for jobseekers in bd.,Positive
"""Very Bad experience Because my point of view, some employers published job circular not for recruitment, 12 months they've job circular but never i get a single interview call.""",Negative
Latest version of Bdjobs keeps crushing on Google Pixel XL running Android 9.0 Pie.,Crash Report
Interface should be better like butter smooth,Feature Suggestion
"it's a good platform for learning and finding job, Best of luck 👍",Neutral
"After update this app became verey very slow,too much disgusting.",Negative
"Totally useless app,fix it.!",Negative
This app is useless. I can't log in with it,Negative
This app is useless,Negative
How to do update my resume? Plz tell me,Question
Not well Organised as website.,Negative
Specialization not working,Bug Report
Update version is better than previous one.,Personal Experience
Bad experience with update version.,Negative
The previous version was good than the updated one.,Personal Experience
tremendously worst app which contains fake job offers and numerous deceptions,Negative
Worst new UI & Updates,Negative
New update is worse than previous,Negative
fantastic app for searching a good job,Positive
App is not good. It is difficult to use..,Negative
App is not good,Negative
How can I upload my Picture.... And how much resolution of this?,Question
It’s an most wonderful software for jobless person.,Positive
It's an effective site for job seekers 😎,Neutral
very disgusting after update... old one is good,Negative
Need some company rating & feedback system. As well as a blacklist function for some companies who doesn't call anyone without reference.,Feature Suggestion
"""This a fully unnecessary app, don't install it.""",Negative
Why should I give you access into my gallery and other features???,Question
Why you don’t have any option to apply without mentioning salary?,Question
Please add rotate system into your application!!,Feature Suggestion
"""Can you explain why you will need access to my photos, videos?""",Question
Best platform that i have ever found in my job hunting life.,Positive
Before updated was good. any way to back previous????,Question
Nothing to say!,Neutral
Worst update ever.!,Negative
"""No star!! In single word """"worst""",Negative
why you need to access permition of my media file?,Question
It’s totally vogas app I've used.,Negative
Previous application was better,Personal Experience
worst app ever i have installed...,Negative
How can i review my cv?,Question
i updated but it crahes all time,Crash Report
why want to device access?,Question
"""update app very bad experience so app ratting 1star,""",Negative
It's just awesome !,Positive
its a fantastic app,Positive
Thanks a lot,Appreciation
Bad super bad bad,Negative
"""Day by day its getting worse, it has became slower, buffers everytime. After installing the update when I changed my profile photo it's showing as pixels as a low quality image file""",Negative
"""Day by day its getting worse, it has became slower, buffers everytime",Negative
"""The app doesn't let uploading resume if it's 500kb. Ridiculous, isn't it?""",Negative
" Ridiculous, isn't it?""",Negative
Good,Positive
very bad,Negative
"""Do not open, speed is very slow, very bad""",Negative
"Best slowest app ever installed in my phone,Take care of it.",Negative
Not usefull,Negative
bad app,Negative
This app is average,Neutral
Very bad.,Negative
"When i apply one company, I lost the previous page which page i stay past. Most of the time the language change automatic! The search page is hardly to use.",Bug Report
Worst jobs r always available here.,Negative
"""Date of birth showing incorrect, even if after giving actual date for ",Bug Report
"""If I scroll the bdjobs app jobs it shows , oops something is wrong""",Bug Report
"""It showing all the time """"something is wrong """", Please fix this problem""",Bug Report
Can't login from desktop or through app it says login failed please fix it,Bug Report
An app that crashes every day,Crash Report
I can't even login using my bdjobs email id. Poor app.,Bug Report
 Poor app,Negative
It has a lot of bugs,Bug Report
Give us option to change expected salary,Feature Suggestion
Why Bdjobs need microphone access permission?,Question
not promising.,Negative
"""I'm not able to send cv to any organization. When i press """"click here"""" option which is included inside job description then when i press send butten a 'please wait'  a pop up message just poped up and gone,  after that  nothing happend and when i check applied job list it shows list is empty, no cv was send. So what should i do? Please give me a solution""",Bug Report
"""There is a problem in this app, when open any job details then if i back the job list move into the beginning.""",Bug Report
It's very good jobs searching apps in BD,Positive
The app isn't working....After clicking on the app its stopped and the logo becomes standstill.,Crash Report
"Going back from any job details brings the home page, Please fix it. Otherwise it is pretty helpful.",Bug Report
 Otherwise it is pretty helpful,Positive
"""i forgot my password,how can i get it or change it like other app using """"forgot password"""" option.""",Question
best App for get job.,Positive
It would have been preferable if offline option stared,Feature Suggestion
"""The new version of the app has some problems.  Whenever I open a job, it stops working.""",Bug Report
I uploaded my cv but when i apply say again and again post your cv and I also can not view my cv just because this problem.,Bug Report
"""Can't edit my resume's previous information, only add option is available.""",Bug Report
Can't login from apps. trying may times but it stopped automatically.,Crash Report
"""Thanks, the unfortunately stopping problem solved, Now 5 stars 😀""",Negative
It's totally disturbing. Nothing is working properly since I have updated the app.,Negative
It's totally disturbing,Negative
Doesn't work properly ...,Negative
"""but it would be best if beside the existing job ad layout there would've been a desktop type ad outlook option only. anyways, this app is really awesome & too helpful to describe.""",Positive
" anyways, this app is really awesome & too helpful to describe",Positive
"""Few changes can be made though, such as Home screen big picture of me can be reduced and use some of its space for scrolling short list or favorite jobs. Also sharing button can be a little big bigger and touch sensitive. Overall nice app. Very much appreciated. BTW, is there any option to view and email my full resume?""",Positive
 Overall nice app,Positive
 Very much appreciated,Positive
"""nice app, great UI, no adds. really cool""",Positive
"""nice app, great UI, no adds",Positive
" really cool""",Positive
"""this apps  99% ok. if copy system is include,than its will be 100% ok.""",Positive
"""this apps  99% ok",Positive
Please include cv email service,Feature Suggestion
"""nice and helpful app. but I request too add Evernote in share option. by these, the details of job principal, requirements can be save in evernote account more easily.""",Positive
"""nice and helpful app",Positive
The apps is very user friendly. The getup is very smart. I would request to add the job agent option. So that it can suggest the jobs according to my criteria.  Hope that it will be advertisement free.,Positive
The apps is very user friendly,Positive
 The getup is very smart,Positive
Easy to view and use. Really nice work.,Positive
Easy to view and use,Positive
 Really nice work,Positive
Thanks from my deepest Heart. Because of This App -- I got one of the best job. I don't know how greatful I am. Best app ever in Job sector. BD,Positive
 Because of This App -- I got one of the best job,Positive
 I don't know how greatful I am,Positive
 Best app ever in Job sector,Positive
"Not able to sign in,Please fix it.",Bug Report
Add features like search in applied jobs,Feature Suggestion
Useless app,Negative
stupid app,Negative
Wow Awesome,Positive
Please add original shades that used in real makeup brands. More features should be added to make it realistic for every skin tone.Some shades look too artificial on darker skin tones.,Feature Suggestion
"The ads are stupid and i can't get rid of them, Uninstalled",Negative
This us very beautiful and make up and filters is very good,Positive
This app is Good but if the system of changing colour and hairstyles will be there it Will become the best beauty app at all and I should also give 5 stars to it and not only me everyone who will download this app will rate 5 stars to it .,Feature Suggestion
The beauty cam always gets stuck.,Bug Report
The app is amazing. I love using this to edit my Instagram photos,Positive
The app is amazing,Positive
 I love using this to edit my Instagram photos,Positive
I ligit hate this app every time I press something it say facial recognition failed I hate it,Negative
Not a real difference from standard ones,Personal Experience
not good! Lip colours are damn glassy & not looking real. Eyebrows are hilarious. Not worthy to download.,Negative
not good! Lip colours are damn glassy & not looking real,Negative
 Eyebrows are hilarious,Negative
 Not worthy to download,Negative
Worst app ever it does not work it is so annoying,Negative
It's fun to play around with all the options for your pictures.,Positive
This is good for beauty face,Positive
I rate one star bcz i m not satisfied with its quality nd they way its makes the photo or pic it looks vuglar maxm time.,Negative
Very bad not able to makeup the pic proper u will waste ur time on this app,Negative
Not bad but it needs some work,Neutral
